System,Body,Material,Overlap
Col 285 Sector YH-X b16-1,6 B Ring,Low Temperature Diamonds,2x
Col 285 Sector JE-T b19-1,7 A Ring,Low Temperature Diamonds,2x
Col 285 Sector RU-E c12-23,6 A Ring,Low Temperature Diamonds,2x
Col 285 Sector EJ-T b19-0,7 B Ring,Low Temperature Diamonds,2x
Hyades Sector RD-S b4-0,5 B Ring,Low Temperature Diamonds,2x
Hyades Sector SD-T c3-14,4 B Ring,Low Temperature Diamonds,2x
Pegasi Sector HR-V b2-5,15 A Ring,Low Temperature Diamonds,2x
Col 285 Sector PV-R a20-1,10 B Ring,Low Temperature Diamonds,2x
Col 285 Sector SU-K b23-7,A 4 A Ring,Low Temperature Diamonds,2x
Pegasi Sector NS-T b3-4,AB 1 A Ring,Low Temperature Diamonds,2x
Hyades Sector NC-T b4-3,AB 4 B Ring,Low Temperature Diamonds,2x
HIP 77021,13 A Ring,Low Temperature Diamonds,2x
Col 285 Sector XT-Q c5-9,4 B Ring,Low Temperature Diamonds,2x
Col 285 Sector ZG-P b21-2,2 B Ring,Low Temperature Diamonds,2x
Col 285 Sector ZL-C c13-19,11 B Ring,Low Temperature Diamonds,2x
Col 285 Sector YJ-P c6-12,3 B Ring,Low Temperature Diamonds,2x
Hyades Sector CR-U b3-3,AB 1 B Ring,Low Temperature Diamonds,2x
Col 285 Sector BX-G b25-1,B 8 B Ring,Low Temperature Diamonds,2x
Col 285 Sector LZ-D b13-4,5 B Ring,Low Temperature Diamonds,2x
Col 285 Sector YK-E c12-2,AB 1 A Ring,Low Temperature Diamonds,2x
Col 285 Sector ZZ-P d5-128,A 7 B Ring,Low Temperature Diamonds,2x
Col 285 Sector OB-E b12-3,6 B Ring,Low Temperature Diamonds,2x
HIP 33685,B 6 A Ring,Low Temperature Diamonds,2x
Col 285 Sector AD-G b25-1,1 B Ring,Low Temperature Diamonds,2x
Col 285 Sector UH-V b18-0,3 B Ring,Low Temperature Diamonds,2x
HIP 455,C 8 A Ring,Low Temperature Diamonds,2x
HIP 13938,10 A Ring,Low Temperature Diamonds,2x
Col 285 Sector RD-I c10-0,A 12 A Ring,Low Temperature Diamonds,2x
Col 285 Sector EV-O c6-13,3 A Ring,Low Temperature Diamonds,2x
Col 285 Sector LT-G a40-2,9 B Ring,Low Temperature Diamonds,2x
Col 285 Sector ZG-J b10-5,3 A Ring,Low Temperature Diamonds,2x
Col 285 Sector HY-X a44-2,AB 3 A Ring,Low Temperature Diamonds,2x
Col 285 Sector IN-G b25-9,1 B Ring,Low Temperature Diamonds,2x
Col 285 Sector XO-H c10-30,CDE 2 A Ring,Low Temperature Diamonds,2x
Col 285 Sector BT-W b16-9,10 B Ring,Low Temperature Diamonds,2x
Col 285 Sector CA-D b14-0,3 A Ring,Low Temperature Diamonds,2x
Col 285 Sector AW-C c13-24,A 4 A Ring,Low Temperature Diamonds,2x
Col 285 Sector TT-H b10-1,13 A Ring,Low Temperature Diamonds,2x
Col 285 Sector WS-D b27-0,1 B Ring,Low Temperature Diamonds,2x
Col 285 Sector OL-G b26-1,A 5 B Ring,Low Temperature Diamonds,2x
Antliae Sector HR-W d1-75,7 B Ring,Low Temperature Diamonds,2x
Arietis Sector BQ-Y c13,4 B Ring,Low Temperature Diamonds,2x
Wolf 1446,A 7 a A Ring,Low Temperature Diamonds,2x
Hyades Sector AK-R b4-3,13 B Ring,Low Temperature Diamonds,2x
Omicron Capricorni B,B 1 A Ring,Platinum,2x
Col 285 Sector KM-V d2-106,5 A Ring,Platinum,2x
HIP 59425,2 A Ring,Platinum,2x
Synuefe XU-N c23-19,1 A Ring,Platinum,2x
Synuefe ZZ-X c17-17,2 A Ring,Platinum,2x
Synuefe XR-H d11-45,1 B Ring,Platinum,2x
IC 2602 Sector ZU-Y d103,ABC 3 A Ring,Platinum,2x
Wregoe TA-E d12-25,4 A Ring,Platinum,2x
HIP 22352,7 A Ring,Platinum,2x
HIP 1550,B 4 A Ring,Platinum,2x
Musca Dark Region IR-W d1-88,3 A Ring,Platinum,2x
IC 2602 Sector SD-T c3-2,A 11 A Ring,Platinum,2x
Synuefe UB-B d14-24,5 A Ring,Platinum,2x
Swoilz UF-V d3-51,10 A Ring,Platinum,2x
HIP 36225,1 A Ring,Platinum,2x
HIP 8465,AB 6 B Ring,Platinum,2x
Eol Prou SS-T d3-1762,1 A Ring,Platinum,2x
Eol Prou IW-W e1-291,8 A Ring,Platinum,2x
Parrot's Head Sector EL-Y d83,1 A Ring,Platinum,3x
